Datum,Jaar,Maand,Dag,Staatshoofd,WindrVec,WindrCat9,WindrCat5,Windsnelh,WindsnelhGem,WindsnelhMax,WindsnelhMaxUur,WindsnelhMin,WindsnelhMinUur,Windstoot,WindstootUur,TempGem,TempMin,TempMinUur,TempMax,TempMaxUur,Zonneschijn,ZonneschijnPerc,Straling,NeerslagDuur,RegenHoeveelh,RegenHoeveelhMax,LuchtdrukGem,LuchtdrukMax,LuchtdrukMin,ZichtMin,ZichtMinCat85,ZichtMinCat5,ZichtMinUur,ZichtMax,ZichtMaxCat85,ZichtMaxCat5,ZichtMaxUur,BewolkingGem,VochtighGem,VochtighMax,VochtighMaxUur,VochtighMin,VochtighMinUur,Verdamping
30-4-1926,1926,4,30,Wilhelmina,91,O,O,1.5,3.1,5.1,23,1,14,,,14.8,11.8,,19.2,,0.05,0,,,0.2,0.2,1010.9,1011.5,1009.9,,,,,,,,,,76,,,,,
31-8-1926,1926,8,31,Wilhelmina,140,ZO,Z,1.5,4.1,6.2,5,1.5,16,,,20,14.6,,27,,10.3,75,,,0,0,1016.3,1017.6,1015,,,,,,,,,,77,,,,,
27-4-1927,1927,4,27,Wilhelmina,261,W,W,4.6,5.7,8.7,9,3.1,19,,,6.1,0.5,,10.9,,11.9,81,,,0,0,1017.1,1018.2,1015.2,,,,,,,,,,58,,,,,
30-4-1927,1927,4,30,Wilhelmina,18,N,N,3.6,3.6,5.1,16,1,7,,,6.2,0.9,,11.9,,9.1,61,,,0,0,1019.7,1021.5,1017.8,,,,,,,,,,54,,,,,
31-8-1927,1927,8,31,Wilhelmina,94,O,O,4.1,4.1,5.7,21,3.1,8,,,19.4,14.6,,25.1,,8.8,64,,,0,0,1023.9,1025.6,1022.3,,,,,,,,,,71,,,,,
27-4-1928,1928,4,27,Wilhelmina,107,O,O,5.7,7.2,9.8,13,3.6,23,,,15.1,9,,19.8,,10.3,70,,,0.1,0.1,1007.9,1009.8,1005.5,,,,,,,,,,52,,,,,
30-4-1928,1928,4,30,Wilhelmina,122,ZO,O,5.7,7.2,12.3,12,3.6,4,,,13,10.3,,15,,0.4,3,,,2,0.5,1003.1,1009.1,998.4,,,,,,,,,,86,,,,,
31-8-1928,1928,8,31,Wilhelmina,351,N,N,2.1,3.1,4.6,9,1,22,,,13.3,8.2,,19.5,,5.5,40,,,0.4,0.2,1023.5,1024.7,1020.4,,,,,,,,,,80,,,,,
27-4-1929,1929,4,27,Wilhelmina,254,W,W,3.1,5.7,7.7,15,2.1,22,,,4.8,0.4,,8.5,,0.7,5,,,2.8,1.1,1003.7,1008.4,1001,,,,,,,,,,85,,,,,
30-4-1929,1929,4,30,Wilhelmina,292,W,W,4.6,7.2,9.3,12,4.1,23,,,5.4,3.7,,7.7,,0,0,,,4.3,1.3,998.7,1008.3,993.4,,,,,,,,,,86,,,,,
31-8-1929,1929,8,31,Wilhelmina,130,ZO,O,3.1,3.6,6.7,20,1,1,,,20.8,10.5,,28.4,,11.5,84,,,0,0,1013.3,1015.5,1011.1,,,,,,,,,,64,,,,,
27-4-1930,1930,4,27,Wilhelmina,28,NO,N,2.1,2.6,5.1,18,1,3,,,12.2,4.9,,19.1,,10.6,72,,0,0,0,1018.4,1020.4,1014.6,,,,,,,,,,82,,,,,
30-4-1930,1930,4,30,Wilhelmina,38,NO,N,7.7,7.7,10.8,12,5.1,19,,,9.1,3.3,,13.8,,13.1,88,,0,0,0,1011.1,1016,1005.1,,,,,,,,,,53,,,,,
31-8-1930,1930,8,31,Wilhelmina,321,NW,N,3.1,3.6,5.1,21,2.1,10,,,16.8,14.7,,19.7,,0,0,,1.2,0.7,0.4,1021.4,1023.5,1019.9,,,,,,,,,,93,,,,,
27-4-1931,1931,4,27,Wilhelmina,246,ZW,W,4.6,6.2,8.7,14,3.1,10,,,8,5.8,,12,,1.2,8,,6.2,4.3,0.9,1000.7,1003.9,997.6,,,,,,,,,,85,,,,,
30-4-1931,1931,4,30,Wilhelmina,269,W,W,3.6,4.6,6.7,9,2.6,19,,,8.7,6,,12.6,,2.7,18,,0.1,0.1,0.1,1016.5,1017.5,1015.5,,,,,,,,,,72,,,,,
31-8-1931,1931,8,31,Wilhelmina,39,NO,N,3.6,3.6,5.1,15,3.1,6,,,17.1,12.6,,21.5,,1.9,14,,0,0,0,1013.5,1014.2,1012.7,,,,,,,,,,83,,,,,
27-4-1932,1932,4,27,Wilhelmina,157,ZO,Z,2.1,3.6,6.7,1,1,6,,,8.1,5.1,,13.2,,7.8,53,,1.5,2.7,2,1011.5,1013.4,1009,,,,,,,,,,71,,,,,
30-4-1932,1932,4,30,Wilhelmina,130,ZO,O,2.1,3.6,6.7,1,2.1,9,,,13.4,10.1,,17.7,,5.7,38,,0,0,0,1008.8,1010.2,1006.6,,,,,,,,,,75,,,,,
31-8-1932,1932,8,31,Wilhelmina,244,ZW,W,3.1,3.6,5.7,14,1,19,,,17.1,12.8,,21.7,,5.5,40,,0.7,1.4,0.7,1016.2,1019.1,1012.3,,,,,,,,,,78,,,,,
27-4-1933,1933,4,27,Wilhelmina,175,Z,Z,2.6,3.1,5.1,15,1,20,,,11.7,4.1,,18.7,,6.5,44,,0.3,0.3,0.3,1013,1015,1010.8,,,,,,,,,,77,,,,,
30-4-1933,1933,4,30,Wilhelmina,289,W,W,1,2.6,4.6,16,1.5,3,,,9.6,3.2,,13.5,,3.2,22,,3,7.4,4.5,1008.9,1010.4,1007.2,,,,,,,,,,89,,,,,
31-8-1933,1933,8,31,Wilhelmina,336,NW,N,3.1,3.1,4.1,1,1.5,20,,,15.4,9.4,,21.6,,6.9,50,,0,0.1,0.1,1022.4,1023.6,1020.8,,,,,,,,,,77,,,,,
27-4-1934,1934,4,27,Wilhelmina,178,Z,Z,4.6,5.7,7.7,10,2.1,20,,,9.7,7,,14,,2.4,16,,0.8,1.2,0.7,1007.1,1012.4,1001.5,,,,,,,,,,84,,,,,
